# ----------------------------------------
# Report CSV Export
# Account: Clientell
# Property: getclientell.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240901
# End date: 20241130
Page path and screen class,Views,Active users,Engagement rate,Bounce rate,Average session duration,Views per session
/,7135,6897,0.6614501076812634,0.33854989231873656,31.3914717994257,1.0244077530509692
/company/careers,102,73,0.6296296296296297,0.37037037037037035,47.3591947654321,1.2592592592592593
/company/about-clientell,99,69,0.7272727272727273,0.2727272727272727,74.16850769318182,1.125
/company/contact-us,46,41,0.7073170731707317,0.2926829268292683,35.647378,1.1219512195121952
/resources/blogs/how-to-become-a-salesforce-solution-engineer,41,9,0.16216216216216217,0.8378378378378378,65.084456,1.1081081081081081
/company/legal,35,24,0.5263157894736842,0.47368421052631576,33.92790457894737,0.9210526315789473
/resources/blogs/Seed-Funding-Announcement,34,34,0.6842105263157895,0.3157894736842105,48.680919710526325,0.8947368421052632
/use-cases/sales-operations,23,20,0.5652173913043478,0.43478260869565216,17.79760413043478,1
/resources/blogs,20,17,0.47058823529411764,0.5294117647058824,22.501676647058822,1.1764705882352942
/solutions/Salesforce-administration,20,13,0.5555555555555556,0.4444444444444444,139.45956188888889,1.1111111111111112
/solutions/Salesforce-automation,20,14,0.5882352941176471,0.4117647058823529,50.272938294117644,1.1764705882352942
/solutions/tracktable,15,11,0.5,0.5,36.59428966666666,1.25
/resources/case-studies,14,12,0.16666666666666666,0.8333333333333334,4.727099666666667,1.1666666666666667
/solutions/revenue-intelligence,14,12,0.4166666666666667,0.5833333333333334,7.127797833333333,1.1666666666666667
/salesforce-consulting-partners,13,8,0.7272727272727273,0.2727272727272727,27.234370272727276,1.1818181818181819
/resources/ebooks,12,10,0.6,0.4,31.3336608,1.2
/resources/blogs/salesforce-implementation-checklist,11,9,0.5555555555555556,0.4444444444444444,196.59219922222223,1.2222222222222223
/use-cases/cro,11,9,0.3333333333333333,0.6666666666666666,52.05810744444445,1.2222222222222223
/use-cases/revenue-operations,11,9,0.2222222222222222,0.7777777777777778,4.334948666666666,1.2222222222222223
/resources/blogs/meddic-for-dummies,9,8,0.36363636363636365,0.6363636363636364,189.3210299090909,0.8181818181818182
/salesforce-audit-and-consulting/salesforce-audit,9,4,0.7142857142857143,0.2857142857142857,333.6431922857143,1.2857142857142858
/salesforce-implementation-checklist,9,5,0.8,0.2,119.49743779999999,1.8
/best-practices/salesforce-best-practices-real-estate,8,2,1,0,347.6059245,4
/salesforce-consulting-partners/newyork,8,5,1,0,156.1551826,1.6
/salesforce-for-non-profit,8,8,0.125,0.875,4.103874,1
/resources/blogs/can-salesforce-agentforce-be-your-crm-s-secret-weapon,7,4,0.2857142857142857,0.7142857142857143,23.786364428571428,1
/average-salary,6,4,1,0,21.96720875,1.5
